StudySession,LogKBI,LogPUB,GMM_Threshold_LogIKI
ACS08-P03_T1,5.123963979403259,5.5053315359323625,6.938764107071011
ACS08-P08_T1,5.087596335232384,5.247024072160486,5.65059084847274
ACS08-P10_T1,4.976733742420574,5.407171771460119,5.440663482558021
ACS08-P07_T3,4.990432586778736,5.497168225293202,5.26951056592889
ACS08-P14_T3,5.159055299214529,6.073044534100405,5.631014944804823
ACS08-P04_T4,4.912654885736052,5.488937726156687,5.238672970464675
ACS08-P16_T3,5.030437921392435,5.799092654460526,5.700339882326183
ACS08-P09_T3,5.081404364984463,6.338594078203183,5.5524672754048865
ACS08-P01_T4,4.890349128221754,5.25227342804663,5.355124544186207
ACS08-P17_T2,5.017279836814924,5.480638923341991,5.484919194648644
ACS08-P13_T1,4.77912349311153,5.267858159063328,5.31352696981968
ACS08-P09_T4,5.056245805348308,5.986452005284438,5.426882248983139
ACS08-P01_T3,4.919980925828125,5.241747015059643,5.21802366774774
ACS08-P13_T2,4.736198448394496,5.0106352940962555,5.162810322289842
ACS08-P15_T1,5.081404364984463,5.517452896464707,5.318457585745858
ACS08-P17_T1,5.123963979403259,5.7745515455444085,5.7101004552472325
ACS08-P04_T3,4.9344739331306915,5.44673737166631,5.298425270760118
ACS08-P07_T4,4.976733742420574,5.3981627015177525,5.373803122631175
ACS08-P03_T2,5.170483995038151,5.332718793265369,7.148815911696933
ACS08-P06_T3,4.859812404361672,5.627621113690637,6.06889848878824
ACS08-P16_T4,4.969813299576001,5.627621113690637,0.0070027897984871225
ACS08-P15_T2,5.075173815233827,5.44673737166631,5.4421096231955035
ACS08-P12_T4,4.890349128221754,5.472270673671475,5.19655056409752
ACS08-P12_T3,4.8283137373023015,5.493061443340548,5.524249335650916
ACS08-P05_T4,5.0238805208462765,5.497168225293202,5.579976224456539
ACS08-P08_T2,5.056245805348308,5.087596335232384,5.419929289205204
ACS08-P02_T4,5.0106352940962555,6.018593214496234,5.630110719182623
ACS08-P10_T2,4.962844630259907,5.231108616854587,5.409467510679671
ACS08-P06_T4,4.875197323201151,5.4510384535657,5.464167772460589
ACS08-P11_T2,4.844187086458591,5.170483995038151,5.02475996167917
AR22-P12_T6,5.6937321388027,5.7430031878094825,5.968484208225469
AR22-P12_T5,5.641907070938114,5.793013608384144,5.933695537054796
AR22-P16_T1,4.948759890378168,6.150602768446279,5.477707578930294
AR22-P06_T6,5.793013608384144,6.907755278982137,6.487769925853423
AR22-P19_T2,5.8377304471659395,6.115892125483034,6.348388107405189
AR22-P03_T5,6.118097198041348,6.274762021241939,6.535751220419273
AR22-P06_T5,5.7430031878094825,6.5998704992128365,6.383723193337963
AR22-P03_T6,6.008813185442595,6.359573868672378,6.458327804007338
AR22-P19_T1,5.886104031450156,6.386879319362645,6.535678703737878
AR22-P10_T1,5.8377304471659395,5.840641657373398,6.509999416471304
AR22-P08_T3,5.318119993844216,5.746203190540153,5.773734526125296
AR22-P04_T2,5.579729825986222,5.6937321388027,5.8706218826341825
AR22-P17_T4,5.147494476813453,5.6937321388027,6.0657718269115275
AR22-P08_T4,5.313205979041787,5.6937321388027,5.507949846078359
AR22-P21_T5,5.389071729816501,6.359573868672378,5.8737795244468884
AR22-P22_T2,5.521460917862246,5.6937321388027,6.064815206659696
AR22-P21_T6,5.389071729816501,5.926926025970411,5.866888703256231
AR22-P20_T4,5.579729825986222,5.883322388488279,5.931334801311837
AR22-P22_T1,5.455321115357702,5.746203190540153,5.856237419831738
AR22-P09_T6,5.389071729816501,5.521460917862246,5.85756007488548
AR22-P13_T2,5.389071729816501,5.6937321388027,5.816164300533888
AR22-P04_T1,5.455321115357702,5.641907070938114,5.787042118967109
AR22-P05_T3,5.641907070938114,6.413458957167357,6.2462303845953535
AR22-P20_T3,5.521460917862246,6.5337888379333435,6.093563353720626
AR22-P15_T5,5.389071729816501,6.660575149839686,6.490525790192508
AR22-P09_T5,5.459585514144159,5.746203190540153,6.636717432525244
AR22-P13_T1,5.384495062789089,5.968707559985366,5.697416754975594
AR22-P15_T6,5.313205979041787,6.182084906716632,5.705074660279751
AR22-P07_T2,5.579729825986222,5.926926025970411,5.878346047271096
AR22-P07_T1,5.6937321388027,6.082218910376446,6.383048355938098
AR22-P05_T4,5.521460917862246,6.532334292222349,6.091566806237178
AR22-P02_T3,5.638354669333745,6.774223886357614,6.009137266090645
AR22-P11_T4,5.389071729816501,5.796057750765372,6.2303675442089075
AR22-P14_T4,5.6937321388027,5.926926025970411,6.221233024131575
AR22-P11_T3,5.455321115357702,5.883322388488279,6.221531588126251
AR22-P02_T4,5.521460917862246,6.555356891810665,5.95789865756748
AR22-P18_T5,6.274762021241939,6.9975959829819265,6.183246046523837
AR22-P18_T6,6.246106765481563,6.5337888379333435,6.6377278099846695
AR22-P01_T2,5.793013608384144,6.150602768446279,5.998744190110602
BB17-P21_T1,4.6913478822291435,5.14166355650266,5.231701207768488
BB17-P26_T1,4.820281565605037,5.147494476813453,5.456789989481301
BB17-P27_T1,5.147494476813453,5.883322388488279,6.0517809404664185
BB17-P15_T1,4.8283137373023015,5.308267697401205,5.269148706186785
BB17-P29_T1,5.231108616854587,5.8805329864007,6.132626074506989
BB17-P11_T1,4.941642422609304,5.8377304471659395,5.808474006907595
BB17-P10_T1,4.8283137373023015,4.941642422609304,5.365638643961921
BB17-P23_T1,4.8283137373023015,5.926926025970411,5.609742903952396
BB17-P13_T1,4.8283137373023015,6.07993319509559,5.334038083621591
BB17-P14_T1,5.049856007249537,5.793013608384144,5.633964887718279
BB17-P18_T1,5.147494476813453,5.793013608384144,5.940458321356287
BB17-P17_T1,4.941642422609304,5.313205979041787,5.437028332957004
BB17-P24_T1,4.948759890378168,6.0063531596017325,5.703500194906914
BB17-P28_T1,5.049856007249537,5.926926025970411,5.508766689871699
BB17-P16_T1,5.308267697401205,5.7430031878094825,6.9582643759169684
BB17-P25_T1,5.313205979041787,5.924255797414532,5.895213479537277
BB17-P19_T1,5.231108616854587,5.384495062789089,5.378100814842207
BB17-P20_T1,5.313205979041787,5.793013608384144,5.473364841674382
BB17-P22_T1,5.147494476813453,5.579729825986222,6.209897653046419
BB17-P12_T1,5.313205979041787,6.436150368369428,5.861797270733377
BD08-P05_T1,4.852030263919617,5.863631175598097,1.8208711753471238
BD08-P06_T1,4.844187086458591,5.075173815233827,1.5277553340378982
BD08-P08_T1,5.003946305945459,5.910796644040527,4.958593123154978
BD08-P02_T1,5.351858133476067,6.838405200847344,5.905282007620643
BD08-P03_T1,5.017279836814924,5.583496308781699,5.274311671103202
BD08-P07_T1,5.081404364984463,5.356586274672012,5.370372233604145
BD08-P09_T1,5.198497031265826,6.2324480165505225,5.741150827849433
BD08-P10_T1,5.214935757608986,5.517452896464707,6.222068995632455
BD08-P01_T1,5.093750200806762,5.484796933490655,5.025525898859138
BD08-P04_T1,5.093750200806762,5.934894195619588,5.7631118884334835
BD13-P07_T1,5.049856007249537,6.182084906716632,5.4377906364282085
BD13-P08_T1,4.948759890378168,6.148468295917647,5.54379702092046
BD13-P02_T1,5.049856007249537,6.302618975744905,6.146612834418342
BD13-P17_T1,4.948759890378168,5.793013608384144,5.4227357738349635
BD13-P12_T2,5.231108616854587,6.042632833682381,5.56759394661675
BD13-P18_T2,4.941642422609304,5.793013608384144,5.311328989865798
BD13-P04_T1,5.384495062789089,6.530877627725885,5.968615660450499
BD13-P01_T1,5.231108616854587,6.212606095751519,5.50811097482825
BML12-P09_T5,4.700480365792417,5.459585514144159,5.134263346723058
BML12-P04_T2,5.049856007249537,5.796057750765372,5.527511269479767
BML12-P03_T5,4.8283137373023015,5.389071729816501,5.2919319252088215
BML12-P03_T6,4.8283137373023015,5.049856007249537,5.227246684124536
BML12-P04_T1,5.14166355650266,5.7430031878094825,5.665576001500149
BML12-P10_T4,4.8283137373023015,5.056245805348308,5.289720630683465
BML12-P06_T6,4.8283137373023015,5.049856007249537,5.323655006809824
BML12-P06_T5,4.8283137373023015,5.231108616854587,5.320806133835138
BML12-P10_T2,4.700480365792417,5.049856007249537,5.180832204752331
BML12-P09_T1,4.8283137373023015,5.389071729816501,5.254161420097079
BML12-P05_T4,5.231108616854587,5.521460917862246,5.961964187962861
BML12-P05_T3,5.231108616854587,5.69035945432406,6.010927336006888
BML12-P08_T3,5.231108616854587,5.793013608384144,5.8405111284611655
BML12-P02_T3,5.236441962829949,5.883322388488279,5.907476904908567
BML12-P02_T4,5.236441962829949,5.638354669333745,5.870119240069337
BML12-P08_T5,5.231108616854587,5.6937321388027,5.658644869452905
BML12-P07_T3,5.147494476813453,5.641907070938114,5.994892522491702
BML12-P07_T1,5.14166355650266,5.455321115357702,5.743002951552926
BML12-P01_T2,4.8283137373023015,5.147494476813453,5.424283469573771
