,StudySession,Quantile_Percent
0,MAecho2019-P09_T03,8.955223880597014
1,AR22-P10_T1,50.0
2,CET6-P22_T02,52.49739854318418
3,ACS08-P08_T2,52.986348122866886
4,SPC15-P12_T4,53.42831700801425
5,LWB09-P09_T3,53.72208436724566
6,NJ12-P10_T4,55.5877243775333
7,CET6-P02_T01,55.8974358974359
8,MAecho2019-P04_T02,56.35383924562192
9,CET6-P18_T02,56.91331923890064
10,KTHJ08-P13_T1,57.111111111111114
11,AR22-P12_T6,57.26587728740581
12,CET6-P07_T03,57.32959850606909
13,NJ12-P12_T6,57.95698924731183
14,BML12-P24_T4,57.99492385786802
15,SPC15-P10_T4,58.185610010427524
16,AR22-P04_T2,58.20056232427366
17,NJ12-P20_T5,58.541893362350386
18,LWB09-P09_T2,58.76393110435664
19,MAecho2019-P04_T01,58.86327503974563
20,CET6-P22_T03,58.97771952817824
21,AR22-P14_T4,58.984375
22,AR22-P03_T5,58.9873417721519
23,CET6-P22_T01,59.08564814814815
24,SPC15-P13_T4,59.16530278232406
25,AR22-P09_T6,59.59595959595959
26,SPC15-P06_T4,59.62059620596206
27,LWB09-P11_T2,59.93303571428571
28,NJ12-P20_T2,60.49618320610687
29,CET6-P18_T01,61.418047882136285
30,MAecho2019-P02_T01,61.5819209039548
31,BD08-P06_T1,61.59895150720839
32,NJ12-P05_T4,61.688654353562
33,AR22-P12_T5,61.84084372003835
34,CET6-P02_T03,61.920980926430516
35,AR22-P09_T5,62.91585127201566
36,SPC15-P14_T4,63.14779270633397
37,LWB09-P14_T2,63.24972737186477
38,CET6-P07_T01,63.294117647058826
39,LWB09-P04_T3,63.299131807419094
40,CET6-P03_T03,63.335837716003006
41,CET6-P06_T02,63.374805598755835
42,CET6-P18_T03,63.547028544688814
43,AR22-P13_T2,63.54733405875952
44,BB17-P10_T1,63.55140186915887
45,ACS08-P08_T1,63.74407582938388
46,AR22-P07_T1,63.748290013679885
47,SPC15-P08_T4,63.86554621848739
48,CET6-P19_T01,63.87688984881209
49,SPC15-P04_T4,63.91304347826087
50,MAecho2019-P02_T02,64.06135865595324
51,AR22-P04_T1,64.16526138279932
52,KTHJ08-P13_T3,64.17910447761194
53,NJ12-P19_T6,64.3305439330544
54,AR22-P03_T6,64.3312101910828
55,ACS08-P11_T2,64.35546875
56,AR22-P19_T2,64.47831184056272
57,KTHJ08-P13_T2,64.52328159645234
58,BB17-P19_T1,64.6887159533074
59,NJ12-P06_T6,64.86486486486487
60,LWB09-P16_T1,64.8936170212766
61,AR22-P22_T2,64.92262343404569
62,CET6-P02_T02,64.93212669683258
63,AR22-P22_T1,65.1063829787234
64,ACS08-P03_T2,65.2135231316726
65,CET6-P05_T02,65.28301886792453
66,LWB09-P11_T1,65.3061224489796
67,BML12-P01_T1,65.38762725137039
68,NJ12-P13_T1,65.51418439716312
69,AR22-P01_T2,65.71774682010903
70,SPC15-P15_T4,65.78680203045685
71,BD08-P07_T1,65.94650205761316
72,ACS08-P01_T3,66.17076326002588
73,NJ12-P13_T3,66.19385342789597
74,NJ12-P12_T2,66.20180475799836
75,AR22-P07_T2,66.20498614958449
76,AR22-P18_T6,66.26297577854672
77,LWB09-P12_T3,66.34349030470914
78,CET6-P04_T03,66.51884700665188
79,AR22-P20_T4,66.66666666666666
80,SPC15-P06_T6,66.75126903553299
81,SPC15-P02_T4,66.76616915422886
82,SPC15-P01_T4,66.97247706422019
83,AR22-P11_T3,67.07168894289185
84,BML12-P03_T6,67.17902350813743
85,LWB09-P03_T1,67.25082146768894
86,SPC15-P05_T4,67.35880398671097
87,CET6-P05_T03,67.4237047551455
88,KTHJ08-P10_T1,67.63485477178423
89,CET6-P19_T03,67.93478260869566
90,NJ12-P01_T1,67.95284030010717
91,LWB09-P16_T2,67.96796796796797
92,CET6-P13_T03,67.9920477137177
93,AR22-P11_T4,68.03738317757009
94,BML12-P28_T5,68.10856658184903
95,SPC15-P11_T4,68.43853820598007
96,ACS08-P01_T4,68.44621513944223
97,ACS08-P10_T2,68.51683348498635
98,CET6-P03_T01,68.53823814133591
99,BML12-P05_T4,68.62348178137651
100,BML12-P06_T6,68.73005743458839
101,LWB09-P07_T2,68.76006441223832
102,NJ12-P17_T4,68.76595744680851
103,NJ12-P21_T1,68.91385767790263
104,BB17-P26_T1,68.95720313441832
105,NJ12-P11_T4,69.0909090909091
106,LWB09-P03_T3,69.19060052219321
107,KTHJ08-P10_T3,69.2982456140351
108,ACS08-P13_T2,69.43674976915975
109,KTHJ08-P22_T2,69.47935368043088
110,CET6-P21_T02,69.50608446671438
111,NJ12-P06_T5,69.56521739130434
112,KTHJ08-P11_T3,69.58174904942965
113,CET6-P06_T03,69.68529222864484
114,AR22-P16_T1,69.68933669185559
115,BML12-P01_T2,69.79405034324942
116,KTHJ08-P04_T1,69.90185387131952
117,LWB09-P14_T3,69.94219653179191
118,AR22-P21_T6,70.02032520325203
119,NJ12-P01_T2,70.04878048780488
120,LWB09-P11_T3,70.05277044854881
121,KTHJ08-P14_T1,70.08547008547008
122,AR22-P17_T4,70.08797653958945
123,BB17-P17_T1,70.13215859030836
124,BML12-P05_T3,70.13291634089131
125,KTHJ08-P23_T1,70.14462809917356
126,NJ12-P17_T6,70.17699115044248
127,CET6-P21_T03,70.19455252918287
128,NJ12-P07_T1,70.24482109227873
129,KTHJ08-P17_T1,70.36669970267592
130,CET6-P11_T01,70.37037037037037
131,LWB09-P17_T2,70.40816326530613
132,BML12-P10_T4,70.43966323666979
133,BD08-P10_T1,70.60402684563758
134,ACS08-P17_T2,70.70422535211267
135,LWB09-P14_T1,70.76222980659841
136,MAecho2019-P10_T01,70.92605886575735
137,AR22-P19_T1,71.0126582278481
138,NJ12-P02_T3,71.015625
139,HLR13-P03_T2,71.05263157894737
140,CET6-P06_T01,71.07866227037212
141,BB17-P15_T1,71.09777015437393
142,BB17-P21_T1,71.20843471208434
143,NJ12-P11_T6,71.21535181236673
144,KTHJ08-P04_T3,71.24378109452736
145,CET6-P12_T03,71.25475285171102
146,KTHJ08-P10_T2,71.41560798548095
147,BML12-P07_T1,71.42857142857143
148,SPC15-P03_T4,71.5130023640662
149,BML12-P10_T2,71.5632364493323
150,BB17-P16_T1,71.60148975791434
151,LWB09-P17_T1,71.63677130044843
152,NJ12-P04_T2,71.65820642978004
153,NJ12-P10_T2,71.65820642978004
154,KTHJ08-P01_T2,71.81571815718158
155,CET6-P01_T01,71.84185149469624
156,LWB09-P13_T3,71.849234393404
157,MAecho2019-P28_T02,71.89306358381504
158,ACS08-P05_T4,71.9488188976378
159,CET6-P13_T01,71.95715676728335
160,CET6-P03_T02,72.0680393912265
161,AR22-P08_T3,72.0703125
162,NJ12-P05_T3,72.16957605985037
163,CET6-P10_T02,72.23493516399695
164,MAecho2019-P09_T02,72.2397476340694
165,CET6-P21_T01,72.28549734244496
166,LWB09-P07_T1,72.5023786869648
167,AR22-P08_T4,72.5531914893617
168,AR22-P13_T1,72.61410788381743
169,KTHJ08-P04_T2,72.62295081967213
170,KTHJ08-P22_T1,72.64325323475046
171,SPC15-P07_T4,72.71619975639464
172,BD08-P01_T1,72.95454545454545
173,ACS08-P15_T2,73.01293900184844
174,NJ12-P04_T1,73.05555555555556
175,BML12-P26_T2,73.0621642363776
176,BML12-P22_T2,73.3587786259542
177,LWB09-P05_T2,73.36024217961655
178,ACS08-P15_T1,73.4820322180917
179,LWB09-P07_T3,73.48416289592761
180,NJ12-P18_T2,73.49857006673022
181,KTHJ08-P21_T3,73.51301115241635
182,MAecho2019-P10_T02,73.54060913705584
183,NJ12-P16_T2,73.58851674641149
184,LWB09-P10_T3,73.60097323600974
185,CET6-P01_T02,73.60754070265638
186,KTHJ08-P11_T2,73.7315875613748
187,ACS08-P12_T4,73.77567140600317
188,CET6-P07_T02,73.78768020969856
189,NJ12-P21_T4,73.8146551724138
190,LWB09-P15_T2,73.82198952879581
191,LWB09-P10_T2,73.83177570093457
192,LWB09-P15_T3,73.83177570093457
193,ST19-P11_T2,73.8360655737705
194,KTHJ08-P21_T1,73.86363636363636
195,NJ12-P08_T3,73.86609071274299
196,CET6-P01_T03,73.91304347826086
197,NJ12-P09_T5,73.99813606710158
198,MAecho2019-P28_T01,74.01847575057737
199,NJ12-P14_T5,74.02957486136785
200,BML12-P06_T5,74.07120743034056
201,KTHJ08-P19_T3,74.13280475718534
202,CET6-P11_T03,74.13793103448276
203,CET6-P05_T01,74.2094167252284
204,NJ12-P19_T3,74.24657534246575
205,BB17-P22_T1,74.27961579509072
206,ACS08-P07_T4,74.3103448275862
207,BML12-P08_T3,74.34679334916865
208,CET6-P10_T01,74.35374149659863
209,BML12-P04_T1,74.37348423605498
210,ACS08-P07_T3,74.4017403915881
211,MAecho2019-P09_T01,74.43548387096774
212,CET6-P19_T02,74.45742904841403
213,CET6-P12_T01,74.46129289704709
214,KTHJ08-P14_T2,74.49956483899042
215,BB17-P20_T1,74.50980392156863
216,SG12-P21_T4,74.5360824742268
217,BML12-P08_T5,74.54728370221329
218,AR22-P21_T5,74.55621301775149
219,SG12-P14_T5,74.60869565217392
220,NJ12-P15_T1,74.62406015037594
221,MAecho2019-P06_T02,74.6470920383964
222,KTHJ08-P23_T2,74.66185752930569
223,KTHJ08-P20_T2,74.68581687612208
224,KTHJ08-P22_T3,74.7008547008547
225,ACS08-P10_T1,74.70664928292047
226,NJ12-P16_T4,74.84921592279855
227,CET6-P08_T02,74.86910994764398
228,NJ12-P15_T5,74.89539748953975
229,ACS08-P04_T3,74.92603550295857
230,LWB09-P01_T2,74.9730312837109
231,CET6-P12_T02,75.05345687811833
232,KTHJ08-P03_T2,75.12038523274478
233,ST19-P55_T3,75.19196692262257
234,BD08-P03_T1,75.27964205816555
235,MAecho2019-P21_T02,75.41371158392435
236,CET6-P13_T02,75.41789577187808
237,BB17-P29_T1,75.44080604534005
238,CET6-P11_T02,75.45883586785527
239,KTHJ08-P14_T3,75.5402750491159
240,CET6-P20_T01,75.54980595084088
241,NJ12-P18_T6,75.63710499490315
242,SG12-P14_T3,75.67084078711986
243,MAecho2019-P30_T01,75.77220077220078
244,ST19-P14_T3,75.7825370675453
245,BML12-P09_T1,75.78268876611418
246,LWB09-P18_T1,75.81344902386117
247,NJ12-P08_T5,75.8364312267658
248,ACS08-P03_T1,75.87908698334361
249,KTHJ08-P07_T1,75.89189189189189
250,KTHJ08-P17_T2,75.91036414565826
251,ACS08-P12_T3,75.96153846153845
252,KTHJ08-P12_T1,75.98343685300208
253,BB17-P27_T1,76.00334448160535
254,ST19-P04_T1,76.0495526496903
255,KTHJ08-P11_T1,76.0536398467433
256,ACS08-P17_T1,76.05633802816901
257,KTHJ08-P21_T2,76.06679035250464
258,SPC15-P03_T6,76.12293144208037
259,KTHJ08-P01_T3,76.14068441064639
260,CET6-P20_T02,76.14424410540916
261,BB17-P18_T1,76.19354838709678
262,BML12-P02_T4,76.21509824198553
263,SG12-P21_T1,76.2402088772846
264,KTHJ08-P23_T3,76.37947725072604
265,KTHJ08-P01_T1,76.39344262295083
266,CET6-P04_T02,76.45687645687646
267,BD13-P18_T2,76.51006711409396
268,KTHJ08-P20_T3,76.55417406749557
269,SPC15-P15_T6,76.6137566137566
270,KTHJ08-P05_T1,76.62337662337663
271,CET6-P04_T01,76.63043478260869
272,BML12-P26_T1,76.71339563862928
273,SG12-P04_T2,76.79045092838196
274,BML12-P07_T3,76.82177348551362
275,NJ12-P02_T4,76.88053097345133
276,KTHJ08-P07_T2,76.88634192932187
277,ST19-P28_T1,76.95445275322909
278,BB17-P25_T1,77.03435804701627
279,MAecho2019-P30_T02,77.17622080679406
280,HLR13-P03_T1,77.21354166666666
281,LWB09-P10_T1,77.2626931567329
282,BML12-P03_T5,77.27737973387923
283,MAecho2019-P08_T01,77.29693741677764
284,SG12-P09_T5,77.34375
285,SPC15-P05_T6,77.3838630806846
286,KTHJ08-P09_T2,77.3865414710485
287,AR22-P15_T6,77.39234449760765
288,LWB09-P15_T1,77.52688172043011
289,HLR13-P02_T3,77.53934191702432
290,ST19-P10_T3,77.54545454545455
291,SPC15-P14_T6,77.57774140752865
292,CET6-P20_T03,77.60532150776052
293,MAecho2019-P08_T02,77.64705882352942
294,KTHJ08-P09_T3,77.67857142857143
295,KTHJ08-P03_T1,77.68281101614434
296,BD13-P07_T1,77.71345875542693
297,ACS08-P04_T4,77.72096420745069
298,KTHJ08-P12_T3,77.73913043478261
299,BML12-P04_T2,77.85493827160494
300,MAecho2019-P06_T01,77.92894935752078
301,ST19-P22_T3,78.03583278035833
302,ACS08-P06_T4,78.0701754385965
303,MAecho2019-P19_T02,78.08951235804943
304,AR22-P20_T3,78.0952380952381
305,SG12-P04_T1,78.13021702838063
306,NJ12-P07_T3,78.13163481953292
307,BML12-P02_T3,78.18791946308725
308,ACS08-P13_T1,78.2103825136612
309,CET6-P08_T01,78.23218997361478
310,KTHJ08-P03_T3,78.23479005998286
311,KTHJ08-P20_T1,78.23691460055096
312,ST19-P18_T3,78.35269271383316
313,AR22-P06_T5,78.46309403437816
314,MAecho2019-P21_T01,78.4965034965035
315,SG12-P19_T3,78.5060975609756
316,KTHJ08-P19_T1,78.57911733046286
317,KTHJ08-P09_T1,78.60125260960335
318,LWB09-P06_T3,78.67177522349937
319,BML12-P09_T5,78.71287128712872
320,BB17-P14_T1,78.76241405653171
321,LWB09-P06_T1,78.80724174653886
322,HLR13-P02_T1,78.85514018691589
323,SG12-P09_T1,78.90173410404624
324,ST19-P58_T3,78.95910780669145
325,ST19-P57_T4,78.96825396825396
326,LWB09-P01_T3,79.00302114803625
327,BD13-P17_T1,79.00552486187846
328,KTHJ08-P19_T2,79.01098901098901
329,ST19-P03_T2,79.01408450704224
330,SG12-P12_T6,79.04761904761905
331,ACS08-P16_T4,79.15407854984893
332,SG12-P20_T2,79.21760391198043
333,HLR13-P04_T1,79.25257731958763
334,BD08-P05_T1,79.30204572803851
335,CET6-P10_T03,79.3103448275862
336,ACS08-P16_T3,79.42430703624733
337,ST19-P09_T4,79.44881889763779
338,SG12-P18_T6,79.52380952380952
339,HLR13-P03_T3,79.56204379562044
340,HLR13-P04_T3,79.59183673469387
341,KTHJ08-P06_T1,79.62633451957295
342,SG12-P07_T3,79.65838509316771
343,BD08-P08_T1,79.71204188481676
344,KTHJ08-P12_T2,79.74172719935432
345,SG12-P02_T3,79.78494623655914
346,ST19-P19_T2,79.78855721393035
347,CET6-P09_T03,79.90430622009569
348,ST19-P52_T1,79.98708844415752
349,CET6-P17_T01,80.0
350,SG12-P22_T4,80.05540166204986
351,KTHJ08-P08_T3,80.07414272474513
352,BB17-P24_T1,80.10657193605684
353,ST19-P16_T1,80.12779552715655
354,CET6-P16_T02,80.16528925619835
355,KTHJ08-P18_T2,80.17492711370262
356,ST19-P17_T4,80.25641025641026
357,ST19-P30_T3,80.25830258302584
358,SG12-P23_T6,80.2762854950115
359,ACS08-P14_T3,80.27777777777779
360,SPC15-P09_T4,80.29045643153528
361,ST19-P33_T4,80.3822372119168
362,ST19-P13_T4,80.45165843330982
363,ST19-P32_T1,80.55380742605412
364,BD08-P09_T1,80.55944055944056
365,ACS08-P06_T3,80.58252427184466
366,SG12-P10_T2,80.62449959967975
367,BML12-P31_T3,80.70038910505836
368,BB17-P13_T1,80.71561338289963
369,BB17-P23_T1,80.73298429319372
370,KTHJ08-P07_T3,80.74974670719351
371,SG12-P16_T4,80.79601990049751
372,LWB09-P02_T3,80.79625292740047
373,ST19-P05_T4,80.85106382978722
374,CET6-P14_T03,80.88818398096748
375,SG12-P18_T2,80.95238095238095
376,ST19-P23_T2,81.03548574752763
377,KTHJ08-P08_T2,81.04906937394247
378,KTHJ08-P05_T3,81.06280193236715
379,SG12-P20_T5,81.08974358974359
380,MAecho2019-P01_T01,81.10918544194108
381,CET6-P17_T03,81.15015974440894
382,AR22-P15_T5,81.15330520393812
383,KTHJ08-P02_T1,81.1623246492986
384,BD13-P12_T2,81.16666666666667
385,SG12-P11_T6,81.17073170731707
386,BML12-P31_T5,81.2452543659833
387,SG12-P24_T2,81.2933025404157
388,ST19-P31_T2,81.40975987606507
389,CET6-P14_T01,81.42741281427412
390,MAecho2019-P19_T01,81.46938775510205
391,SG12-P08_T3,81.49847094801224
392,SG12-P13_T3,81.55339805825243
393,SG12-P08_T5,81.55963302752293
394,LWB09-P08_T3,81.57248157248156
395,SG12-P12_T2,81.63797600417318
396,LWB09-P08_T2,81.64354322305229
397,KTHJ08-P17_T3,81.73258003766477
398,KTHJ08-P18_T1,81.75257731958763
399,KTHJ08-P15_T2,81.76412289395441
400,SG12-P06_T5,81.78368121442125
401,SG12-P01_T1,81.86379928315412
402,SG12-P19_T6,81.87134502923976
403,SG12-P02_T4,81.93359375
404,AR22-P05_T4,81.94662480376766
405,BD13-P01_T1,81.98324022346368
406,SG12-P16_T2,81.99566160520607
407,KTHJ08-P15_T1,82.00654307524536
408,MAecho2019-P01_T02,82.01383551114527
409,BD13-P02_T1,82.04724409448819
410,ST19-P20_T1,82.06078576723499
411,MAecho2019-P05_T02,82.08057726999398
412,BD08-P04_T1,82.08469055374593
413,SG12-P22_T5,82.10277613703485
414,BB17-P28_T1,82.17194570135746
415,BD13-P08_T1,82.18562874251496
416,ACS08-P02_T4,82.19424460431655
417,AR22-P02_T4,82.29317851959361
418,HLR13-P05_T3,82.46505717916138
419,ST19-P21_T4,82.51633986928104
420,SG12-P01_T2,82.54847645429363
421,HLR13-P04_T2,82.57016248153619
422,LWB09-P02_T2,82.57080610021787
423,SG12-P17_T6,82.60517799352752
424,ST19-P01_T4,82.61217948717949
425,KTHJ08-P06_T2,82.6487845766974
426,ST19-P26_T3,82.65582655826557
427,KTHJ08-P15_T3,82.73092369477911
428,ST19-P35_T2,82.73164861612516
429,SG12-P23_T1,82.74894810659187
430,CET6-P16_T01,82.76098901098901
431,BB17-P11_T1,82.79457768508863
432,SG12-P05_T3,82.80616382806164
433,CET6-P09_T01,82.89085545722715
434,BB17-P12_T1,82.96760710553815
435,MAecho2019-P26_T02,82.98319327731093
436,LWB09-P02_T1,83.00884955752213
437,ST19-P15_T2,83.04628632938643
438,BD08-P02_T1,83.09352517985612
439,BD13-P04_T1,83.09859154929578
440,CET6-P16_T03,83.27974276527331
441,SG12-P24_T3,83.30618892508144
442,AR22-P05_T3,83.35467349551855
443,SG12-P06_T6,83.364312267658
444,ST19-P24_T1,83.37758895379713
445,KTHJ08-P02_T3,83.44880677444188
446,AR22-P06_T6,83.5926449787836
447,HLR13-P05_T1,83.66533864541833
448,KTHJ08-P24_T3,83.70197904540163
449,SPC15-P01_T6,83.72591006423983
450,KTHJ08-P05_T2,83.73151308304891
451,ACS08-P09_T4,83.74233128834356
452,KTHJ08-P16_T2,83.89473684210526
453,ST19-P34_T3,83.91472868217055
454,AR22-P18_T5,84.03908794788273
455,SG12-P11_T4,84.070796460177
456,MAecho2019-P26_T01,84.07155025553664
457,SG12-P17_T4,84.09506398537478
458,CET6-P17_T02,84.12698412698413
459,ST19-P29_T4,84.2023346303502
460,AR22-P02_T3,84.21672555948174
461,CET6-P08_T03,84.21750663129973
462,KTHJ08-P24_T1,84.33333333333334
463,ST19-P02_T3,84.375
464,SG12-P05_T4,84.3838193791157
465,HLR13-P02_T2,84.47729672650475
466,ST19-P12_T1,84.68864468864469
467,ST19-P53_T4,84.69184890656064
468,CET6-P09_T02,84.7328244274809
469,ST19-P07_T2,84.74842767295597
470,CET6-P14_T02,84.8249027237354
471,ST19-P54_T3,85.1028806584362
472,SG12-P13_T1,85.13257575757575
473,KTHJ08-P16_T1,85.2760736196319
474,SG12-P10_T4,85.29411764705883
475,ST19-P25_T4,85.38299367533381
476,SPC15-P09_T6,85.52123552123551
477,HLR13-P01_T2,85.58441558441558
478,ACS08-P09_T3,85.623869801085
479,ST19-P06_T3,85.84126984126983
480,SG12-P15_T1,85.90116279069767
481,SG12-P15_T5,86.17106314948042
482,SG12-P03_T5,86.31889763779527
483,HLR13-P01_T1,86.52291105121293
484,SG12-P03_T6,86.80618744313013
485,KTHJ08-P16_T3,86.9287991498406
486,ST19-P37_T4,86.94798822374878
487,HLR13-P05_T2,87.46736292428199
488,HLR13-P01_T3,88.55989232839838
489,ST19-P08_T1,89.06882591093117
