StudySession,LogKBI,LogPUB,GMM_Threshold_LogIKI,gmm_iki_auto,gmm_iki_cons,Quantile_iki
ACS08-P03_T1,5.123963979403259,5.5053315359323625,6.938764107071011,0.009738059383297977,6.138073289975075,5.484796933490655
ACS08-P08_T1,5.087596335232384,5.247024072160486,5.65059084847274,5.418477148317336,6.503250484981568,5.488937726156687
ACS08-P10_T1,4.976733742420574,5.407171771460119,5.440663482558021,4.980447513019828,6.148625870124537,5.41610040220442
ACS08-P07_T3,4.990432586778736,5.497168225293202,5.26951056592889,5.46288189017894,6.831987310506207,5.5353618778730285
ACS08-P14_T3,5.159055299214529,6.073044534100405,5.631014944804823,5.267437678128145,6.420639125195664,5.87493073085203
ACS08-P04_T4,4.912654885736052,5.488937726156687,5.238672970464675,4.911201653976145,5.887424897059691,5.393627546352362
ACS08-P16_T3,5.030437921392435,5.799092654460526,5.700339882326183,5.397358237754326,6.329887785092549,5.6131281063880705
ACS08-P09_T3,5.081404364984463,6.338594078203183,5.5524672754048865,5.333368221338832,6.464944785150897,5.647207446355433
ACS08-P01_T4,4.890349128221754,5.25227342804663,5.355124544186207,3.7451025754757676,5.603126164351581,5.429345628954441
ACS08-P17_T2,5.017279836814924,5.480638923341991,5.484919194648644,5.039693328062012,5.954138924395728,5.583496308781699
ACS08-P13_T1,4.77912349311153,5.267858159063328,5.31352696981968,4.646479858815337,5.676911820236477,5.209486152841421
ACS08-P09_T4,5.056245805348308,5.986452005284438,5.426882248983139,5.420220809973374,5.879557897553472,5.5134287461649825
ACS08-P01_T3,4.919980925828125,5.241747015059643,5.21802366774774,5.119165249027273,5.560647423657885,5.488937726156687
ACS08-P13_T2,4.736198448394496,5.0106352940962555,5.162810322289842,4.7883394314088426,5.597437612059387,5.096696076670503
ACS08-P15_T1,5.081404364984463,5.517452896464707,5.318457585745858,5.149488128101429,5.673661620063088,5.5787846452762455
ACS08-P17_T1,5.123963979403259,5.7745515455444085,5.7101004552472325,5.160963994431469,6.236982079122985,5.746203190540153
ACS08-P04_T3,4.9344739331306915,5.44673737166631,5.298425270760118,5.418476642139434,6.837571634351896,5.454236791430677
ACS08-P07_T4,4.976733742420574,5.3981627015177525,5.373803122631175,4.810459422610535,5.4759931577821295,5.439163909322845
ACS08-P03_T2,5.170483995038151,5.332718793265369,7.148815911696933,5.114146954741764,6.510494296482763,5.510398439012229
ACS08-P06_T3,4.859812404361672,5.627621113690637,6.06889848878824,2.982707966530252,5.774154460404018,5.3913496380844315
ACS08-P16_T4,4.969813299576001,5.627621113690637,0.0070027897984871225,5.32914787778048,6.119615788516665,5.4638318050256105
ACS08-P15_T2,5.075173815233827,5.44673737166631,5.4421096231955035,5.243117530133175,5.596484586273579,5.484796933490655
ACS08-P12_T4,4.890349128221754,5.472270673671475,5.19655056409752,4.895841312134715,5.4314794709881555,5.5254529391317835
ACS08-P12_T3,4.8283137373023015,5.493061443340548,5.524249335650916,4.774418639312216,5.4349388706472155,5.4680601411351315
ACS08-P05_T4,5.0238805208462765,5.497168225293202,5.579976224456539,5.16499373469409,5.698522426030897,5.569296885865263
ACS08-P08_T2,5.056245805348308,5.087596335232384,5.419929289205204,5.3115797331997,5.884760380467162,5.367141518298304
ACS08-P02_T4,5.0106352940962555,6.018593214496234,5.630110719182623,2.913601647929153,5.750411598141817,5.6149462962203405
ACS08-P10_T2,4.962844630259907,5.231108616854587,5.409467510679671,0.012115842813068134,5.553290154095452,5.3471075307174685
ACS08-P06_T4,4.875197323201151,5.4510384535657,5.464167772460589,5.406319438027831,6.04869063990798,5.342334251964811
ACS08-P11_T2,4.844187086458591,5.170483995038151,5.02475996167917,4.874379006121982,5.484525656445675,5.313205979041787
AR22-P12_T6,5.6937321388027,5.7430031878094825,5.968484208225469,5.557032577562469,6.63079281069387,6.115892125483034
AR22-P12_T5,5.641907070938114,5.793013608384144,5.933695537054796,5.556766704040029,6.282822227613863,6.148468295917647
AR22-P16_T1,4.948759890378168,6.150602768446279,5.477707578930294,4.873304269829777,6.139247592193731,6.486160788944089
AR22-P06_T6,5.793013608384144,6.907755278982137,6.487769925853423,5.986452988582167,6.945578516949693,6.498209564733619
AR22-P19_T2,5.8377304471659395,6.115892125483034,6.348388107405189,0.012062167589557011,6.470781205583323,6.437751649736401
AR22-P03_T5,6.118097198041348,6.274762021241939,6.535751220419273,4.932365903861461,6.94596289530769,6.620073206530356
AR22-P06_T5,5.7430031878094825,6.5998704992128365,6.383723193337963,6.05228848038093,6.795472576621064,6.437751649736401
AR22-P03_T6,6.008813185442595,6.359573868672378,6.458327804007338,6.063149285014678,6.966746534089882,6.641182169740591
AR22-P19_T1,5.886104031450156,6.386879319362645,6.535678703737878,5.696889598360866,6.772796675219773,6.555356891810665
AR22-P10_T1,5.8377304471659395,5.840641657373398,6.509999416471304,5.866133165847911,7.102441448181983,6.5337888379333435
AR22-P08_T3,5.318119993844216,5.746203190540153,5.773734526125296,5.533473269027794,6.089585586235062,5.886104031450156
AR22-P04_T2,5.579729825986222,5.6937321388027,5.8706218826341825,5.551097667033733,6.4023914144733425,6.133282746979498
AR22-P17_T4,5.147494476813453,5.6937321388027,6.0657718269115275,5.416076223231977,6.946254633895423,5.926926025970411
AR22-P08_T4,5.313205979041787,5.6937321388027,5.507949846078359,4.511293605474058,5.950019443981938,5.840641657373398
AR22-P21_T5,5.389071729816501,6.359573868672378,5.8737795244468884,5.018285267621203,5.978582737034652,6.386879319362645
AR22-P22_T2,5.521460917862246,5.6937321388027,6.064815206659696,5.558167179214879,7.6339436110751935,6.008813185442595
AR22-P21_T6,5.389071729816501,5.926926025970411,5.866888703256231,5.4655152023869675,7.337540850851589,6.182084906716632
