Study	Session	Study-Session	PercGaze	Lang
ACS08	P03_T1	ACS08/Tables/P03_T1	40.87%	EN-DA
ACS08	P08_T1	ACS08/Tables/P08_T1	39.14%	EN-DA
ACS08	P10_T1	ACS08/Tables/P10_T1	36.17%	EN-DA
ACS08	P07_T3	ACS08/Tables/P07_T3	33.97%	EN-DA
ACS08	P14_T3	ACS08/Tables/P14_T3	31.81%	EN-DA
ACS08	P04_T4	ACS08/Tables/P04_T4	31.64%	EN-DA
ACS08	P16_T3	ACS08/Tables/P16_T3	29.83%	EN-DA
ACS08	P09_T3	ACS08/Tables/P09_T3	28.69%	EN-DA
ACS08	P01_T4	ACS08/Tables/P01_T4	25.39%	EN-DA
ACS08	P17_T2	ACS08/Tables/P17_T2	24.51%	EN-DA
ACS08	P13_T1	ACS08/Tables/P13_T1	23.61%	EN-DA
ACS08	P09_T4	ACS08/Tables/P09_T4	21.71%	EN-DA
ACS08	P01_T3	ACS08/Tables/P01_T3	21.25%	EN-DA
ACS08	P13_T2	ACS08/Tables/P13_T2	21.21%	EN-DA
ACS08	P15_T1	ACS08/Tables/P15_T1	20.72%	EN-DA
ACS08	P17_T1	ACS08/Tables/P17_T1	20.56%	EN-DA
ACS08	P04_T3	ACS08/Tables/P04_T3	20.52%	EN-DA
ACS08	P07_T4	ACS08/Tables/P07_T4	20.01%	EN-DA
ACS08	P03_T2	ACS08/Tables/P03_T2	18.23%	EN-DA
ACS08	P06_T3	ACS08/Tables/P06_T3	18.05%	EN-DA
ACS08	P16_T4	ACS08/Tables/P16_T4	16.20%	EN-DA
ACS08	P15_T2	ACS08/Tables/P15_T2	16.11%	EN-DA
ACS08	P12_T4	ACS08/Tables/P12_T4	16.09%	EN-DA
ACS08	P12_T3	ACS08/Tables/P12_T3	15.96%	EN-DA
ACS08	P05_T4	ACS08/Tables/P05_T4	15.54%	EN-DA
ACS08	P08_T2	ACS08/Tables/P08_T2	15.03%	EN-DA
ACS08	P02_T4	ACS08/Tables/P02_T4	14.83%	EN-DA
ACS08	P10_T2	ACS08/Tables/P10_T2	13.98%	EN-DA
ACS08	P06_T4	ACS08/Tables/P06_T4	12.18%	EN-DA
ACS08	P11_T2	ACS08/Tables/P11_T2	10.67%	EN-DA
AR22	P12_T6	AR22/Tables/P12_T6	90.72%	EN-AR
AR22	P12_T5	AR22/Tables/P12_T5	89.92%	EN-AR
AR22	P16_T1	AR22/Tables/P16_T1	88.12%	EN-AR
AR22	P06_T6	AR22/Tables/P06_T6	85.60%	EN-AR
AR22	P19_T2	AR22/Tables/P19_T2	85.57%	EN-AR
AR22	P03_T5	AR22/Tables/P03_T5	85.50%	EN-AR
AR22	P06_T5	AR22/Tables/P06_T5	83.73%	EN-AR
AR22	P03_T6	AR22/Tables/P03_T6	83.30%	EN-AR
AR22	P19_T1	AR22/Tables/P19_T1	82.51%	EN-AR
AR22	P10_T1	AR22/Tables/P10_T1	81.98%	EN-AR
AR22	P08_T3	AR22/Tables/P08_T3	76.20%	EN-AR
AR22	P04_T2	AR22/Tables/P04_T2	74.45%	EN-AR
AR22	P17_T4	AR22/Tables/P17_T4	74.25%	EN-AR
AR22	P08_T4	AR22/Tables/P08_T4	73.44%	EN-AR
AR22	P21_T5	AR22/Tables/P21_T5	72.80%	EN-AR
AR22	P22_T2	AR22/Tables/P22_T2	71.63%	EN-AR
AR22	P21_T6	AR22/Tables/P21_T6	70.45%	EN-AR
AR22	P20_T4	AR22/Tables/P20_T4	67.82%	EN-AR
AR22	P22_T1	AR22/Tables/P22_T1	67.15%	EN-AR
AR22	P09_T6	AR22/Tables/P09_T6	66.44%	EN-AR
AR22	P13_T2	AR22/Tables/P13_T2	65.22%	EN-AR
AR22	P04_T1	AR22/Tables/P04_T1	64.47%	EN-AR
AR22	P05_T3	AR22/Tables/P05_T3	63.59%	EN-AR
AR22	P20_T3	AR22/Tables/P20_T3	62.97%	EN-AR
AR22	P15_T5	AR22/Tables/P15_T5	62.34%	EN-AR
AR22	P09_T5	AR22/Tables/P09_T5	61.39%	EN-AR
AR22	P13_T1	AR22/Tables/P13_T1	61.07%	EN-AR
AR22	P15_T6	AR22/Tables/P15_T6	59.97%	EN-AR
AR22	P07_T2	AR22/Tables/P07_T2	59.13%	EN-AR
AR22	P07_T1	AR22/Tables/P07_T1	59.05%	EN-AR
AR22	P05_T4	AR22/Tables/P05_T4	58.19%	EN-AR
AR22	P02_T3	AR22/Tables/P02_T3	57.82%	EN-AR
AR22	P11_T4	AR22/Tables/P11_T4	57.59%	EN-AR
AR22	P14_T4	AR22/Tables/P14_T4	53.76%	EN-AR
AR22	P11_T3	AR22/Tables/P11_T3	50.77%	EN-AR
AR22	P02_T4	AR22/Tables/P02_T4	47.32%	EN-AR
AR22	P18_T5	AR22/Tables/P18_T5	47.23%	EN-AR
AR22	P18_T6	AR22/Tables/P18_T6	34.64%	EN-AR
AR22	P01_T2	AR22/Tables/P01_T2	34.41%	EN-AR
BB17	P21_T1	BB17/Tables/P21_T1	93.48%	EN-DA
BB17	P26_T1	BB17/Tables/P26_T1	90.58%	EN-DA
BB17	P27_T1	BB17/Tables/P27_T1	89.58%	EN-DA
BB17	P15_T1	BB17/Tables/P15_T1	88.14%	EN-DA
BB17	P29_T1	BB17/Tables/P29_T1	87.45%	EN-DA
BB17	P11_T1	BB17/Tables/P11_T1	87.17%	EN-DA
BB17	P10_T1	BB17/Tables/P10_T1	84.87%	EN-DA
BB17	P23_T1	BB17/Tables/P23_T1	78.40%	EN-DA
BB17	P13_T1	BB17/Tables/P13_T1	75.12%	EN-DA
BB17	P14_T1	BB17/Tables/P14_T1	72.47%	EN-DA
BB17	P18_T1	BB17/Tables/P18_T1	68.03%	EN-DA
BB17	P17_T1	BB17/Tables/P17_T1	63.38%	EN-DA
BB17	P24_T1	BB17/Tables/P24_T1	61.76%	EN-DA
BB17	P28_T1	BB17/Tables/P28_T1	60.64%	EN-DA
BB17	P16_T1	BB17/Tables/P16_T1	59.06%	EN-DA
BB17	P25_T1	BB17/Tables/P25_T1	58.87%	EN-DA
BB17	P19_T1	BB17/Tables/P19_T1	55.53%	EN-DA
BB17	P20_T1	BB17/Tables/P20_T1	46.32%	EN-DA
BB17	P22_T1	BB17/Tables/P22_T1	45.31%	EN-DA
BB17	P12_T1	BB17/Tables/P12_T1	42.27%	EN-DA
BD08	P05_T1	BD08/Tables/P05_T1	76.85%	EN-DA
BD08	P06_T1	BD08/Tables/P06_T1	69.17%	EN-DA
BD08	P08_T1	BD08/Tables/P08_T1	68.71%	EN-DA
BD08	P02_T1	BD08/Tables/P02_T1	62.70%	EN-DA
BD08	P03_T1	BD08/Tables/P03_T1	59.55%	EN-DA
BD08	P07_T1	BD08/Tables/P07_T1	55.47%	EN-DA
BD08	P09_T1	BD08/Tables/P09_T1	52.78%	EN-DA
BD08	P10_T1	BD08/Tables/P10_T1	41.06%	EN-DA
BD08	P01_T1	BD08/Tables/P01_T1	39.20%	EN-DA
BD08	P04_T1	BD08/Tables/P04_T1	18.46%	EN-DA
BD13	P07_T1	BD13/Tables/P07_T1	85.45%	EN-DA
BD13	P08_T1	BD13/Tables/P08_T1	79.45%	EN-DA
BD13	P02_T1	BD13/Tables/P02_T1	61.54%	EN-DA
BD13	P17_T1	BD13/Tables/P17_T1	61.51%	EN-DA
BD13	P12_T2	BD13/Tables/P12_T2	55.82%	EN-DA
BD13	P18_T2	BD13/Tables/P18_T2	54.32%	EN-DA
BD13	P04_T1	BD13/Tables/P04_T1	46.60%	EN-DA
BD13	P01_T1	BD13/Tables/P01_T1	31.86%	EN-DA
BML12	P09_T5	BML12/Tables/P09_T5	83.20%	EN-ES
BML12	P04_T2	BML12/Tables/P04_T2	83.09%	EN-ES
BML12	P03_T5	BML12/Tables/P03_T5	81.86%	EN-ES
BML12	P03_T6	BML12/Tables/P03_T6	81.72%	EN-ES
BML12	P04_T1	BML12/Tables/P04_T1	81.21%	EN-ES
